EMLO Letter ID Number,Year date,Month date,Day date,Standard gregorian date,Date is range (0=No; 1=Yes),Year 2nd date (range),Month 2nd date (range),Day 2nd date (range),"Calendar of date provided to EMLO (G=Gregorian; JJ=Julian, year start 1 January; JM=Julian, year start March, U=Unknown)",Date as marked on letter,Date uncertain (0=No; 1=Yes),Date approximate (0=No; 1=Yes),Date inferred (0=No; 1=Yes),Notes on date,Author,Author EMLO ID,Author as marked in body/text of letter,Author inferred (0=No; 1=Yes),Author uncertain (0=No; 1=Yes),Notes on Author in relation to letter,Recipient,Recipient EMLO ID,Recipient as marked in body/text of letter,Recipient inferred (0=No; 1=Yes),Recipient uncertain (0=No; 1=Yes),Notes on Recipient in relation to letter,Origin name,Origin EMLO ID,Origin as marked in body/text of letter,Origin inferred (0=No; 1=Yes),Origin uncertain (0=No; 1=Yes),Notes on Origin in relation to letter,Destination name,Destination EMLO ID,Destination as marked in body/text of letter,Destination inferred (0=No; 1=Yes),Destination uncertain (0=No; 1=Yes),Notes on Destination in relation to letter,Abstract,Keywords,Language(s),Incipit,Explicit,People mentioned,EMLO IDs of people mentioned,Notes on people mentioned,Original Catalogue name,Matching letter(s) in alternative EMLO catalogue(s) (self reference also),Match id number,Related Resource IDs [er = number for link to EMLO letter],General notes for public display,Editors' working notes,UUID,EMLO URL
601972,1695,12,24,1696-01-03,0,,,,JM,,0,0,1,,"Trumbull, William (Sir)",20684,,0,0,,"Adams, Fitzherbert",106,,0,1,,"London, England",1606,,1,0,,,,,0,0,,,"taxing of windows; 
exemption for University of Oxford",English,,,"Finch (Mr); Wallis, John (Dr)",600059; 600400,,"Wallis, John",,,,,,e0672671-3764-4ae7-8bb7-c0f8b0e6d751,http://emlo.bodleian.ox.ac.uk/profile/work/e0672671-3764-4ae7-8bb7-c0f8b0e6d751
600004,1641,12,,1641-12-31,0,,,,JM,,1,1,0,,"Wallis, John (Dr)",600059,,0,0,,"Adams, Walter",119,,0,0,,,,,0,0,,,,,0,0,,,,,,,"Whichcote, Benjamin (Dr)",22190,,"Wallis, John",,,,"Existence: Referred to in Adams-Wallis 31.XII.1641/[10.I.1642]. | Answered by: Adams-Wallis 31.XII.1641/[10.I.1642]. | This letter, addressed to Adams, was evidently intended for one of Wallis's former tutors at Emmanuel College, probably Benjamin Whichcote.",,f72b79f5-fc71-4c1c-b2f8-adfbb55d4309,http://emlo.bodleian.ox.ac.uk/profile/work/f72b79f5-fc71-4c1c-b2f8-adfbb55d4309
601532,1702,7,24,1702-08-04,0,,,,JM,July 24. 1702.,0,0,0,,"Wallis, John (Dr)",600059,,0,0,,"Aglionby, William",600236,,0,0,,"Oxford, Oxfordshire, England",400014,Oxford,0,0,,"Whitehall, Westminster, London, England",300144,"My Answer For William Aglionby Esquire, at the Secretaries Office at White-hall.",0,0,,,"cipher; 
cipher key","English, Latin",,,"Finch, Daniel",7984,,"Wallis, John",,,,,,64152937-fae1-4f2b-a281-ef34da1885ca,http://emlo.bodleian.ox.ac.uk/profile/work/64152937-fae1-4f2b-a281-ef34da1885ca
601964,1693,1,12,1693-01-22,0,,,,JM,Jan. 12. 1692/3.,0,0,0,,"Wallis, John (Dr)",600059,,0,0,,"Aldrich, Henry (Dr)",217,,0,0,,"London, England",1606,London,0,0,,,,,0,0,,,City of Oxford,English,,,"Clarges, Thomas (Sir); Harrington, James",4926; 9942,,"Wallis, John",,,,,,65c39a78-8593-4d41-af49-58f5a2758667,http://emlo.bodleian.ox.ac.uk/profile/work/65c39a78-8593-4d41-af49-58f5a2758667
601962,1693,1,10,1693-01-20,0,,,,JM,Jan. 10. 1692./3.,0,0,0,,"Wallis, John (Dr)",600059,,0,0,,"Aldrich, Henry (Dr)",217,,0,0,,"London, England",1606,London,0,0,,"Christ Church College, University of Oxford, Oxford, Oxfordshire, England",500118,"These for the Reverend Dr Aldrich Dean  of Christchurch, & vicechancelor of the University of Oxford in Oxford",0,0,,,"City of Oxford; 
University of Oxford",English,,,"Charles I, King of England, Scotland, and Ireland; Clarges, Thomas (Sir); Finch (Mr); Harrington, James; Sherwin (Mr) (mentioned 1693); Ward (Mr) (mentioned 1693)",4621; 4926; 600400; 600406; 600407; 9942,,"Wallis, John",,,,,,a04302f4-0855-4282-a6c9-2e96fdc2b7a9,http://emlo.bodleian.ox.ac.uk/profile/work/a04302f4-0855-4282-a6c9-2e96fdc2b7a9
960462,1676,1,3,1676-01-13,0,,,,JJ,,0,0,0,,"Oldenburg, Henry",4830,,0,0,,"Alencé, Joachim d'",903271,,0,0,,,,,0,0,,,,,0,0,,,,,,,,,,"Oldenburg, Henry",,,,"Missing manuscript. Calendared in Oldenburg, Henry, ‘The Correspondence of Henry Oldenburg’, vol. XII, 1675–1676, ed. and tr. A. Rupert Hall and Marie Boas Hall (London and Philadelphia, 1986), p. 119.",,57504b3c-0db8-4bc6-ae17-cb7fe0ff2f71,http://emlo.bodleian.ox.ac.uk/profile/work/57504b3c-0db8-4bc6-ae17-cb7fe0ff2f71
100712,,,,9999-12-31,0,,,,JM,n.d.,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Almeloveen, Theodoor Jansson van",347,,0,0,,"Epsom, Surrey, England",400202,,1,0,,Netherlands,100092,,1,0,,Lister's draft letter to Almeloveen concerning Lister's De Humoribus which Almeloveen would have published in Holland.,,Latin,,,,,,"Lister, Martin",100712; 31811,1,900152,"post-1700 date from context, which meant it was drafted in Epsom, Surrey",,9e64d6f0-79bf-4e9b-86ac-46ce96107e4a,http://emlo.bodleian.ox.ac.uk/profile/work/9e64d6f0-79bf-4e9b-86ac-46ce96107e4a
100713,,,,9999-12-31,0,,,,JM,n.d.,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Almeloveen, Theodoor Jansson van",347,,0,0,,"Epsom, Surrey, England",400202,,1,0,,Netherlands,100092,,1,0,,Lister's draft letter to Almeloveen concerning Apicius and Coelius manuscripts; Lister directed Almeloveen to send correspondence and books for him to Richard Cullen (his brother-in-law) in London.,,Latin,,,,,,"Lister, Martin",100713; 31812,1,900155,"post-1700 date from context, which meant it was drafted in Epsom, Surrey",,70f73f66-5a2b-4c14-8aee-2eec2bb2b7a8,http://emlo.bodleian.ox.ac.uk/profile/work/70f73f66-5a2b-4c14-8aee-2eec2bb2b7a8
100711,,,,9999-12-31,0,,,,JM,n.d.,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Almeloveen, Theodoor Jansson van",347,,0,0,,"Epsom, Surrey, England",400202,,1,0,,Netherlands,100092,,1,0,,"Lister's draft letter to Almeloveen concerning Apicius and Coelius manuscripts, some of which were in Thomas Smith's library.",,Latin,,,,,,"Lister, Martin",100711; 31810,1,900138,"post-1700 date from context, which meant it was drafted in Epsom, Surrey",,b6b54376-620a-4fc6-bfce-18c8fc76fa19,http://emlo.bodleian.ox.ac.uk/profile/work/b6b54376-620a-4fc6-bfce-18c8fc76fa19
601457,1699,10,30,1699-11-09,0,,,,JM,,0,0,0,,"Wallis, John (Dr)",600059,,0,0,,"Amman, Johann Conrad",600224,,0,0,,,,,0,0,,,,,0,0,,,,Latin,,,,,,"Wallis, John",,,,"The date of this letter has been added by Wallis in his own copy of the Dissertatio de loquela (Bodleian Library, sign. Savile H 18(2)).",,d4225467-1136-4509-a005-ffa0e4c40b6b,http://emlo.bodleian.ox.ac.uk/profile/work/d4225467-1136-4509-a005-ffa0e4c40b6b
905556,1663,6,15,1663-06-15,0,,,,JJ,,0,0,0,,"Oldenburg, Henry",4830,,0,0,,"Ankeln, Johann Georg",906156,,0,0,,,,,1,0,,"Augsburg, Bavaria, Germany",300359,,1,0,,,,Latin,,,,,,"Oldenburg, Henry",,,,,,b6531cae-63be-4ed7-accf-ce6ff9b7493b,http://emlo.bodleian.ox.ac.uk/profile/work/b6531cae-63be-4ed7-accf-ce6ff9b7493b
906452,1669,4,15,1669-04-25,0,,,,JJ,,0,1,0,,"Oldenburg, Henry",4830,,0,0,,"Ashmole, Elias",722,,0,0,,,,,0,0,,,,,0,0,,,,,,,,,,"Oldenburg, Henry",,,,"Missing manuscript. A memorandum exists of the content of a letter of this date. See Oldenburg, Henry, ‘The Correspondence of Henry Oldenburg’, vol. V, 1668–1669, ed. and tr. A. Rupert Hall and Marie Boas Hall (Madison, Milwaukee, and London, 1968), p. 495.",,a9860b18-35c1-4fae-a18e-c05714a4c330,http://emlo.bodleian.ox.ac.uk/profile/work/a9860b18-35c1-4fae-a18e-c05714a4c330
500013,1684,7,22,1684-07-22,0,,,,,July. 22. 1684,0,0,0,,"Aubrey, John",400011,,0,0,,"Ashmole, Elias",722,,0,0,,,,,0,0,,,,,0,0,,,,,,,,,,"Aubrey, John",500013; 963206,1,,"Enclosing Andrew Paschall - John Aubrey, 1684-07-18",,f0a6050e-9f45-41ae-8611-777b3fa34aed,http://emlo.bodleian.ox.ac.uk/profile/work/f0a6050e-9f45-41ae-8611-777b3fa34aed
500014,1684,10,25,1684-10-25,0,,,,,Octob. 25. 1684.,0,0,0,,"Aubrey, John",400011,,0,0,,"Ashmole, Elias",722,,0,0,,,,,0,0,,,,,0,0,,,,,,,,,,"Aubrey, John",500014; 963211,1,,Notes by Ashmole concerning the content of the letter on fol. 68,,15f73ed7-f28d-4fdb-a7eb-3a35578aea65,http://emlo.bodleian.ox.ac.uk/profile/work/15f73ed7-f28d-4fdb-a7eb-3a35578aea65
500015,1685,,,1685-12-31,0,,,,,[undated; see notes],0,0,0,,"Aubrey, John",400011,,0,0,,"Ashmole, Elias",722,,0,0,,,,,0,0,,,,,0,0,,,,,,,,,,"Aubrey, John",,,,"Later pencil notation on recto: ""Aubrey 1685""",,02b64b77-bc6e-481e-9bcf-8dcd422964e5,http://emlo.bodleian.ox.ac.uk/profile/work/02b64b77-bc6e-481e-9bcf-8dcd422964e5
500011,,,,9999-12-31,0,,,,,[undated],0,0,0,,"Aubrey, John",400011,,0,0,,"Ashmole, Elias",722,,0,0,,,,,0,0,,,,,0,0,,,,,,,,,,"Aubrey, John",500011; 962830,1,,,,5973bcc0-db7a-48b9-8702-c18021ed6efe,http://emlo.bodleian.ox.ac.uk/profile/work/5973bcc0-db7a-48b9-8702-c18021ed6efe
500012,,,,9999-12-31,0,,,,,[undated],0,0,0,,"Aubrey, John",400011,,0,0,,"Ashmole, Elias",722,,0,0,,,,,0,0,,,,,0,0,,,,,,,,,,"Aubrey, John",,,,,,ccea702f-6b5c-4863-871f-7faf5db95296,http://emlo.bodleian.ox.ac.uk/profile/work/ccea702f-6b5c-4863-871f-7faf5db95296
601241,1692,8,,1692-08-31,0,,,,JM,Aug. 1692.,1,0,0,,"Wallis, John (Dr)",600059,,0,0,,"Ashurst, Henry (Sir)",10680,,0,0,,"Oxford, Oxfordshire, England",400014,Oxford,0,0,,"Waterstock, Oxfordshire, England",900161,For the Right Worshl. Sir Henry Ashurst at Waterstock,0,0,,,"painter; 
house repairs",English,,,"Wildgoose, Henry (mentioned 1690-92)",600401,,"Wallis, John",,,,Date: ? August 1692.,,88e099ec-1f5f-455a-a3ae-34d7f4b9f3b5,http://emlo.bodleian.ox.ac.uk/profile/work/88e099ec-1f5f-455a-a3ae-34d7f4b9f3b5
601249,1692,8,,1692-08-31,0,1692,9,,JM,,1,0,1,,"Wallis, John (Dr)",600059,,0,0,,"Ashurst, Henry (Sir)",10680,,0,0,,,,,0,0,,,,,0,0,,,"painter; 
mason; 
carpenter; 
architecture",English,,,"Piddonton (Mr); Spiksman (Mr) (mentioned 1692); Wildgoose, Henry (mentioned 1690-92)",600401; 600461; 600462,,"Wallis, John",,,,Date: late August/early September 1692.,,efceb8c2-de40-481a-8aca-c7e9a1867180,http://emlo.bodleian.ox.ac.uk/profile/work/efceb8c2-de40-481a-8aca-c7e9a1867180
601338,1696,5,21,1696-05-31,0,,,,JM,May 21. 1696,0,0,0,,"Wallis, John (Dr)",600059,,0,0,,"Ashurst, Henry (Sir)",10680,,0,0,,"Oxford, Oxfordshire, England",400014,Oxford,0,0,,"Waterstock, Oxfordshire, England",900161,"For Sr Henry Ashurst at Water-stock, Oxfordshire",0,0,,,preferment,English,,,"Blencowe, John (Sir); Keegan (Lord) (mentioned 1696); Wallis, John (junior)",21608; 558; 600508,,"Wallis, John",,,,,,b0a9bdc8-b02e-4e92-b33c-3602ee94ac2d,http://emlo.bodleian.ox.ac.uk/profile/work/b0a9bdc8-b02e-4e92-b33c-3602ee94ac2d
